Index,Type,Introduction,Body,CTA,Conclusion,Response(Y/N),Cleaned_Body,Generated Email
13,Cold Email,"Hi Ryan,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and how you were able to break into investment banking after being in equity research for a while. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and how were able to break into investment banking after being in equity research for a if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Ryan, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and how you were able to break into investment banking after being in equity research for a while."
14,Cold Email,"Hi Brian,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at houlihan if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Brian, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey."
15,Cold Email,"Hi Theo,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at houlihan if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Theo, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey."
16,Cold Email,"Hi Isabelle,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley also recently interned at citizens in the fact am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience in debt capital markets at citizens if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank.
17,Cold Email,"Hi Brandon,","My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets, your journey and any advice you may have for a student looking to enter this area full time.",I have attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",N,name is and am a rising senior at bentley university pursuing both and degrees in very interested in the field of investment banking and was wondering if had some free time in the next couple weeks to set up a quick call about investment banking at rbc capital journey and any advice may have for a student looking to enter this area full,"Introduction: Hi Brandon, Body: My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets."
18,Cold Email,"Hi Jack,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Aeris Partners. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at aeris if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Jack, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Aeris Partners."
19,Cold Email,"I hope you're doing well! My name is Shreyas Kumar, a rising senior at Bentley University pursuing a bachelor’s and master’s in finance. I attended Alok Nemani’s class, where you spoke earlier this year, and your presentation sparked my interest in equity research.","I’d love the opportunity to chat about your career and get your advice on breaking into the field. I’ll be in New York this Thursday and Friday and would be thrilled to meet in person if you're available. If not, a call in the coming weeks works just as well. My schedule is very flexible so please let me know what time works best for you and I'll make it work.","Thanks so much for your time, and I look forward to hearing from you! Best,",Shreyas,N,love the opportunity to chat about career and get advice on breaking into the be in new york this thursday and friday and would be thrilled to meet in person if if a call in the coming weeks works just as schedule is very flexible so please let know what time works best for and make,"Kumar, a rising senior at Bentley University, is pursuing a bachelor’s and master’s in finance. Introduction: I hope you're doing well! I hope you're doing well! I hope you're doing well! I hope you're doing well! I hope you're doing well! I hope you're doing well! I'd love the opportunity to chat about your career and get your advice on breaking into the field."
20,Cold Email,"Hi Lisa,","I hope you've had a great week thus far. My name is Shreyas, and I am a rising senior studying finance at Bentley University. I am interested in pursuing full-time opportunities in investment banking and would love to learn more about your background and experience at PJT Partners. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. Additionally, since you're based in Boston, I would be more than happy to meet in person at a time convenient for you. I understand your schedule is very busy, so please let me know if you have any availability in the near future.","Thank you in advance for your time, and I look forward to hearing from you!","Best regards, Shreyas",Y,hope had a great week thus name is and am a rising senior studying finance at bentley am interested in pursuing opportunities in investment banking and would love to learn more about background and experience at pjt if have the would greatly appreciate the chance to connect over the phone sometime in the coming since based in would be more than happy to meet in person at a time convenient for understand schedule is very so please let know if have any availability in the near,"Hi Lisa, Body: I hope you've had a great week thus far. My name is Shreyas, and I am a rising senior studying finance at Bentley University. I am interested in pursuing full-time opportunities in investment banking and would love to learn more about your background and experience at PJT Partners."
21,Cold Email,"Dear Mr. Byers,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Baird. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,", Body: I hope you've had a great week thus far. I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Baird."
22,Cold Email,"Hi Solene,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley also recently interned at citizens in the fact am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience in debt capital markets at citizens if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Solene, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank."
23,Cold Email,"Hi Rishi,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at rbc capital if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Rishi, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets."
24,Cold Email,"Hi Julius,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your background and experience at J.P. Morgan. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in asset wealth management and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your background and experience at J.P. Morgan.
25,Cold Email,"Hi Delaina,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking credit and would love to learn more about your background and experience at J.P. Morgan. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking credit and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,I hope you've had a great week thus far. I hope you've had a great week thus far. I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking credit and would love to learn more about your background and experience at J.P. Morgan.
26,Cold Email,"Dear Mr. Choudhury,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your extensive background and experience at J.P. Morgan. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in asset wealth management and would love to learn more about extensive background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,", Body: I hope you've had a great week thus far. I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your extensive background and experience at J.P. Morgan."
27,Cold Email,"Hi Jose,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at houlihan if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Jose, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey."
28,Cold Email,"Hi Malgorzata,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your background and experience at J.P. Morgan. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in asset wealth management and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Malgorzata, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in Asset & Wealth Management and would love to learn more about your background and experience at J.P. Morgan."
29,Cold Email,"Dear Emma,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities with Morgan Stanley, particularly in Boston. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at Morgan Stanley. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities with morgan particularly in through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at morgan would be open to a brief call at,",: Best, Shreyas, and I hope your week is going well! Conclusion: Best, Shreyas, and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities with Morgan Stanley, particularly in Boston."
30,Cold Email,"Dear Danielle,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in investment banking with Lazard, particularly in Boston. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at Lazard. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities in investment banking with particularly in through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at would be open to a brief call at,",: I hope your week is going well!,! Your email address:: email: Introduction: Dear Danielle, Body: I hope your week is going well! in finance. I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in investment banking with Lazard, particularly in Boston."
